tweet_id	publish_date	content	trump_mention
676932580558639105	12/16/2015 1:11	'@SenTedCruz Why do GOP candidates whine to avoid answering questions?  #VegasGOPDebate'	F
676935189214441472	12/16/2015 1:21	#CNNDebate Do we really need another #GOPDebate? Every new is worse than the previous one #VegasGOPDebate	F
676936636513583104	12/16/2015 1:27	Is there a drinking game for the #GOPDebate? #VegasGOPDebate	F
676936578133041154	12/16/2015 1:27	'@JohnKasich What are your thoughts on Drake and Meek Mill? #VegasGOPDebate'	F
676937501853007872	12/16/2015 1:30	#CNNDebate #VegasGOPDebate Today we’ll hear a lot of empty promises.  Are you ready? #GOPDebate	F
676937748952018944	12/16/2015 1:31	Will corrupted politicians talk about corruption? #GOPDebate #VegasGOPDebate	F
676944668073029632	12/16/2015 1:59	'@CarlyFiorina What is your favorite color... colored person? #VegasGOPDebate'	F
712346102855442432	3/22/2016 18:32	#IslamKills Why isn't Europe keeping its promise to resettle #refugees?	F
712346550937083904	3/22/2016 18:33	#Brussels Obama wants to help refugees? Why doesn’t he want to help fellow Americans first? #IslamKills	F
685978597543297024	1/10/2016 0:16	'@big_gun_in_utah so? If you pay more taxes you have more rights? This how it works?'	F
685980895535300609	1/10/2016 0:26	'@big_gun_in_utah some of you?'	F
686598956478906369	1/11/2016 17:22	What the f*ck?  https://t.co/qGN0MDODdV #policebrutality #policestate https://t.co/gnID7rIgqq	F
687363228406538240	1/13/2016 19:58	Obama delivers his final State of the Union address but said nothing about #BLM Why? @ShaunKing https://t.co/UqUl6TXVI7	F
687374582207111168	1/13/2016 20:44	Did they count slavery as incarceration? #policestate #policebrutality #incarceration https://t.co/1WDypm19J9	F
687396734696177664	1/13/2016 22:12	White America Does The Crime, Black America Gets The Time. WTF? #BlackLivesMatter #racism https://t.co/cBF7s5lczs	F
687403236056248320	1/13/2016 22:37	what? #blaclivesmatter #blacktivist #blactwitter https://t.co/FbxHtOvOjV	F
687411261768871937	1/13/2016 23:09	'@Plantflowes what kind of information do you need?'	F
